[ Mon Mar 28 22:44:03 2016 ]=>  (_͠°_͟ʖ_͡°)_ÂＬＭＮÃＳEＲY_Vip_||_TNT_||_Bøøm_Tękšâś✓ [113155685] Used /superhelp
 
[ Mon Mar 28 22:47:00 2016 ]=>  (_͠°_͟ʖ_͡°)_ÂＬＭＮÃＳEＲY_Vip_||_TNT_||_Bøøm_Tękšâś✓ [113155685] used /teleseed 
 
[ Mon Mar 28 22:56:40 2016 ]=>  (_͠°_͟ʖ_͡°)_ÂＬＭＮÃＳEＲY_Vip_||_TNT_||_Bøøm_Tękšâś✓ [113155685] used /get Reply
 
[ Tue Mar 29 14:46:49 2016 ]=>  ( ͠° ͟ʖ ͡°) ÂＬＭＮÃＳEＲY Vip || TNT || Bøøm Tękšâś✓ [113155685] added SuperGroup
 
[ Tue Mar 29 14:47:01 2016 ]=>  ( ͠° ͟ʖ ͡°) ÂＬＭＮÃＳEＲY Vip || TNT || Bøøm Tękšâś✓ [113155685] attempted to create a new SuperGroup link
 
[ Tue Mar 29 14:47:07 2016 ]=>  ( ͠° ͟ʖ ͡°) ÂＬＭＮÃＳEＲY Vip || TNT || Bøøm Tękšâś✓ [113155685] requested group link [https://telegram.me/joinchat/CKTUkz5dV66Np_mLwA9u4Q]
 
[ Tue Mar 29 14:47:25 2016 ]=>  ZFEAR bot#1 Admin [140092677] joined the SuperGroup via link
 
[ Tue Mar 29 14:47:51 2016 ]=>  ًًًٍّمٌٍخُِْاٌْٰوٍِّيـٍُٓ😐 آٌٍَُِّٰلٍّْذٌٍٍُّيـٌٍُْٰبـٍُّْ 🌝 Admin [90320173] joined the SuperGroup via link
 
[ Tue Mar 29 14:48:27 2016 ]=>  ( ͠° ͟ʖ ͡°) ÂＬＭＮÃＳEＲY Vip || TNT || Bøøm Tękšâś✓ [113155685] attempted to create a new SuperGroup link
 
[ Tue Mar 29 15:16:11 2016 ]=>  ( ͠° ͟ʖ ͡°) ÂＬＭＮÃＳEＲY Vip || TNT || Bøøm Tękšâś✓ [113155685] locked flood 
 
